Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
2019,,"2,845,022 ",0.3 ,"378,937 ",-0.4 ,"2,800,665 ",-1.4 ,"7,854,884 ",-4.0 ,"1,973,720 ",1.9 ,"309,437 ",10.0 ,"520,575 ",-15.0 ,"-3,067 ","4,255,098 ",-4.5 ,"799,121 ",-9.9 ,"4,375,619 ",-7.0 ,"634,243 ",-0.9 ,
2020,,"2,675,793 ",-5.9 ,"357,679 ",-5.6 ,"2,624,170 ",-6.3 ,"7,341,713 ",-6.5 ,"1,775,202 ",-10.1 ,"341,052 ",10.2 ,"455,695 ",-12.5 ,"52,221 ","4,198,338 ",-1.3 ,"519,205 ",-35.0 ,"4,239,663 ",-3.1 ,"426,257 ",-32.8 ,
2021r,,"2,867,740 ",7.2 ,"386,848 ",8.2 ,"2,708,027 ",3.2 ,"8,559,101 ",16.6 ,"1,863,394 ",5.0 ,"363,530 ",6.6 ,"483,012 ",6.0 ,"-1,909 ","5,236,005 ",24.7 ,"615,069 ",18.5 ,"5,211,334 ",22.9 ,"480,027 ",12.6 ,
2022r,,"2,827,009 ",-1.4 ,"384,831 ",-0.5 ,"2,710,789 ",0.1 ,"8,179,415 ",-4.4 ,"1,882,407 ",1.0 ,"404,294 ",11.2 ,"452,771 ",-6.3 ,"-28,683 ","4,814,050 ",-8.1 ,"654,576 ",6.4 ,"4,859,272 ",-6.8 ,"493,134 ",2.7 ,
1973,1,"9,697 ",-,-,-,"9,039 ",-,"16,249 ",-,"6,222 ",-,515 ,-,"2,147 ",-,155 ,"4,945 ",-,"2,265 ",-,"5,487 ",-,"1,065 ",-,
,2,"9,586 ",-,-,-,"9,070 ",-,"17,096 ",-,"6,164 ",-,478 ,-,"2,320 ",-,108 ,"5,758 ",-,"2,268 ",-,"6,404 ",-,"1,106 ",-,
,3,"10,979 ",-,-,-,"9,686 ",-,"19,517 ",-,"6,810 ",-,554 ,-,"2,261 ",-,61 ,"7,479 ",-,"2,352 ",-,"7,248 ",-,"1,290 ",-,
,4,"11,064 ",-,-,-,"10,923 ",-,"21,158 ",-,"7,920 ",-,598 ,-,"2,426 ",-,-21 ,"7,817 ",-,"2,418 ",-,"8,773 ",-,"1,321 ",-,
1974,1,"11,664 ",20.3 ,-,-,"10,826 ",19.8 ,"20,880 ",28.5 ,"7,106 ",14.2 ,655 ,27.2 ,"2,568 ",19.6 ,497 ,"7,077 ",43.1 ,"2,977 ",31.4 ,"7,758 ",41.4 ,"1,458 ",36.9 ,
,2,"11,371 ",18.6 ,-,-,"11,298 ",24.6 ,"22,319 ",30.6 ,"7,832 ",27.1 ,613 ,28.2 ,"2,701 ",16.4 ,152 ,"8,093 ",40.6 ,"2,928 ",29.1 ,"9,402 ",46.8 ,"1,546 ",39.8 ,
